Tamil, English
வரலாறு (varalaru), history
தேடல் (thedal), search
போலீசார் (pooleesaar), police
மாதம் (maatham), month
விடுவோம் (viṭuvōm), let
ஒவ்வொறு (ovvoru), each
தேவை (tēvai), should
அறிவிருந்தேன் (aṟiviruṉēṉ), knew
இருந்தனர் (iruṅṭaṉar), were
செய்ய முடியாது (ceyyamudiādu), could
கொடுக்க (koṭukka), give
வகை (vakai), type
கொடுத்த (koṭutta), given
ரயில் (rayil), train
கண்கள் (kaṇkaḷ), eyes
முறை (muṟai), way
காலை (kālai), morning
புள்ளி (puḷḷi), point
தொடர்ந்து (toṭarntu), after
மன்னிப்பு (maṉṉippu), sorry
முன் (muṉ), in front of
நிமிடங்கள் (nimiṭaṅkaḷ), minutes
இன்று (iṉṟu), today
தண்ணீர் (taṇṇīr), water
காத்திருங்கள் (kāttiruṅkaḷ), wait
வேலை (vēlai), job
பூமி (pūmi), Earth
கொடுக்கும் (koṭukkum), given
பெரிய (periya), large
